train ID,train type,origin,destination,departure time,# of nodes, actual trip time,,node, time_stemp, node_position
,,,,,,,,3,10, 0.35
,,,,,,,,3,10, 0.35
,,,,,,,,6,12, 0.74
,,,,,,,,6,12, 0.74
32,2,5,4,6,8,9
,,,,,,,,5,6, 0.22
,,,,,,,,5,9, 0.22
,,,,,,,,2,11, 0.41
,,,,,,,,2,11, 0.41
,,,,,,,,3,13, 0.35
,,,,,,,,3,13, 0.35
,,,,,,,,4,15, 0.00
,,,,,,,,4,15, 0.00
33,2,5,4,6,4,10
,,,,,,,,5,6, 0.22
,,,,,,,,5,6, 0.22
,,,,,,,,4,16, 0.00
,,,,,,,,4,16, 0.00
15,1,1,6,7,8,6
,,,,,,,,1,7, 0.82
,,,,,,,,1,7, 0.82
,,,,,,,,2,9, 0.41
,,,,,,,,2,9, 0.41
,,,,,,,,3,11, 0.35
,,,,,,,,3,11, 0.35
,,,,,,,,6,13, 0.74
,,,,,,,,6,13, 0.74
16,1,1,6,7,8,6
,,,,,,,,1,7, 0.82
,,,,,,,,1,7, 0.82
,,,,,,,,2,9, 0.41
,,,,,,,,2,9, 0.41
,,,,,,,,3,11, 0.35
,,,,,,,,3,11, 0.35
,,,,,,,,6,13, 0.74
,,,,,,,,6,13, 0.74
34,2,5,4,7,8,9
,,,,,,,,5,7, 0.22
,,,,,,,,5,10, 0.22
,,,,,,,,2,12, 0.41
,,,,,,,,2,12, 0.41
,,,,,,,,3,14, 0.35
,,,,,,,,3,14, 0.35
,,,,,,,,4,16, 0.00
,,,,,,,,4,16, 0.00
35,2,5,4,7,8,9
,,,,,,,,5,7, 0.22
,,,,,,,,5,10, 0.22
,,,,,,,,2,12, 0.41
,,,,,,,,2,12, 0.41
,,,,,,,,3,14, 0.35
,,,,,,,,3,14, 0.35
,,,,,,,,4,16, 0.00
,,,,,,,,4,16, 0.00
17,1,1,6,8,8,6
,,,,,,,,1,8, 0.82
,,,,,,,,1,8, 0.82
,,,,,,,,2,10, 0.41
,,,,,,,,2,10, 0.41
,,,,,,,,3,12, 0.35
,,,,,,,,3,12, 0.35
,,,,,,,,6,14, 0.74
,,,,,,,,6,14, 0.74
18,1,1,6,8,8,6
,,,,,,,,1,8, 0.82
,,,,,,,,1,8, 0.82
,,,,,,,,2,10, 0.41
,,,,,,,,2,10, 0.41
,,,,,,,,3,12, 0.35
,,,,,,,,3,12, 0.35
,,,,,,,,6,14, 0.74
,,,,,,,,6,14, 0.74
36,2,5,4,8,8,9
,,,,,,,,5,8, 0.22
,,,,,,,,5,11, 0.22
,,,,,,,,2,13, 0.41
,,,,,,,,2,13, 0.41
,,,,,,,,3,15, 0.35
,,,,,,,,3,15, 0.35
,,,,,,,,4,17, 0.00
,,,,,,,,4,17, 0.00
37,2,5,4,8,8,9
,,,,,,,,5,8, 0.22
,,,,,,,,5,11, 0.22
,,,,,,,,2,13, 0.41
